Date,Meal,Calories,Fat (g),Saturated Fat,Polyunsaturated Fat,Monounsaturated Fat,Trans Fat,Cholesterol,Sodium (mg),Potassium,Carbohydrates (g),Fiber,Sugar,Protein (g),Vitamin A,Vitamin C,Calcium,Iron
2012-09-16,Meal 2,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-09-16,Meal 4,150.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.4,0.0,8.4,6.0,0.0,0.0,0.0,0.0
2012-09-17,Meal 1,248.0,3.8,1.2,0.0,0.0,0.0,140.0,96.0,708.0,0.0,0.0,0.0,52.6,0.0,0.0,0.0,0.0
2012-09-17,Meal 3,767.8,26.7,6.7,8.8,9.4,0.0,3.8,1365.6,470.0,42.0,6.6,0.6,83.0,160.0,40.0,8.0,15.0
2012-09-17,Meal 4,199.0,3.8,2.3,0.0,0.0,0.0,0.0,0.0,0.0,18.0,2.0,26.5,2.0,30.0,0.0,0.0,0.0
2012-09-18,Meal 1,804.2,16.0,3.9,4.0,2.0,0.0,210.0,935.7,1062.0,66.3,4.7,4.3,92.3,0.0,0.0,0.0,0.0
2012-09-18,Meal 2,242.8,8.0,1.6,2.4,2.6,0.0,0.0,970.8,0.0,24.7,1.8,1.7,16.6,0.0,0.0,0.0,0.0
2012-09-18,Meal 3,511.7,15.7,4.4,4.9,5.3,0.0,2.3,375.7,0.0,23.8,2.8,0.3,63.8,0.0,0.0,0.0,0.0
2012-09-18,Meal 4,175.0,5.3,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.7,0.0,42.0,0.0,0.0,0.0
2012-09-19,Meal 1,267.8,9.7,1.8,3.4,3.1,0.0,0.0,1033.3,0.0,26.2,1.8,1.7,16.6,0.0,0.0,0.0,0.0
2012-09-19,Meal 2,800.0,20.0,6.4,0.0,0.0,0.0,0.0,1.2,0.0,84.0,8.0,28.8,68.8,0.0,0.0,0.0,0.0
2012-09-19,Meal 3,465.1,12.5,3.9,3.3,5.1,0.0,0.0,121.9,3.5,0.8,0.0,0.6,70.9,0.1,0.0,0.1,0.3
2012-09-19,Meal 4,175.0,5.3,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.7,0.0,42.0,0.0,0.0,0.0
2012-09-20,Meal 3,828.0,35.1,4.5,0.0,0.0,0.0,0.0,900.0,0.0,108.0,8.1,8.1,21.6,0.0,0.0,0.0,0.0
2012-09-20,Meal 4,919.0,4.5,2.6,0.0,0.0,0.0,3.5,135.0,0.0,77.5,6.0,28.4,5.5,24.0,0.0,2.0,5.0
2012-09-21,Meal 1,825.2,26.4,7.0,0.1,0.0,0.0,175.0,385.2,913.7,57.9,6.3,3.1,88.0,0.1,8.3,0.5,0.7
2012-09-21,Meal 3,1283.0,45.5,8.7,0.0,0.0,0.0,58.5,742.5,0.0,165.5,21.6,43.0,30.7,1.5,3.0,3.0,18.0
2012-09-21,Meal 4,304.0,6.6,3.6,0.0,0.0,0.0,8.4,324.0,0.0,34.8,9.6,18.0,8.4,24.0,0.0,4.8,12.0
